chamber,committee,committee_code,api_uri,date,time,location,description,bill_ids,url,meeting_type
House,Committee on Energy and Commerce,HSIF,https://api.propublica.org/congress/v1/115/house/committees/HSIF.json,2018-12-12,10:15:00,RHOB 2322,Public Private Partnerships for Federal Energy Management,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108791,Hearing
House,Committee on Transportation and Infrastructure,HSPW,https://api.propublica.org/congress/v1/115/house/committees/HSPW.json,2018-12-12,10:00:00,RHOB 2253,Markup of General Services Administration Capital Investment and Leasing Program Resolutions,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108798,Markup
Senate,Committee on Energy and Natural Resources,SSEG,https://api.propublica.org/congress/v1/115/senate/committees/SSEG.json,2018-12-12,10:00:00,SD-366,"Hearings to examine S.2395, to amend title 54, United States Code, to authorize the provision of technical assistance under the Preserve America Program and to direct the Secretary of the Interior to enter into partnerships with communities adjacent to units of the National Park System to leverage local cultural heritage tourism assets, S.2895 and H.R.5613, bills to designate the Quindaro Townsite National Historic Landmark, S.3291, to reauthorize the New Jersey Coastal Heritage Trail Route, S.3439 and H.R.5532, bills to redesignate the Reconstruction Era National Monument as the Reconstruction Era National Historical Park, S.3468, to amend the Wild and Scenic Rivers Act to designate segments of the Nashua, Squannacook, and Nissitissit Rivers as components of the Wild and Scenic Rivers System, S.3505, to provide for partnerships among State and local governments, regional entities, and the private sector to preserve, conserve, and enhance the visitor experience at nationally significant battlefields of the American Revolution, War of 1812, and Civil War, S.3527 and H.R.5585, bills to extend the authorization for the Cape Cod National Seashore Advisory Commission, S.3533, to amend the Wild and Scenic Rivers Act to designate certain river segments within the Wood-Pawcatuck watershed as components of the National Wild and Scenic Rivers System, S.3545, to amend title XVIII of the Social Security Act to improve home health payment reforms under the Medicare program, S.3571 and H.R.5420, bills to authorize the acquisition of land for addition to the Home of Franklin D. Roosevelt National Historic Site in the State of New York, S.3646, to authorize the Secretary of the Interior to accept certain properties in the State of Missouri, S.3609 and H.R.801, bills to amend the National Trails System Act to designate the Route 66 National Historic Trail, S.3659, to authorize the Secretary of the Interior to annually designate at least one city in the United States as an &quot;American World War II Heritage City&quot;, H.R.1220, to establish the Adams Memorial Commission to carry out the provisions of Public Law 107-62, H.R.3607, to authorize the Secretary of the Interior to establish fees for medical services provided in units of the National Park System, H.R.3961, to amend the Wild and Scenic Rivers Act to designate segments of the Kissimmee River and its tributaries in the State of Florida for study for potential addition to the National Wild and Scenic Rivers System, H.R.5005, to direct the Secretary of the Interior to conduct a special resource study to determine the suitability and feasibility of establishing the birthplace of James Weldon Johnson in Jacksonville, Florida, as a unit of the National Park System, H.R.5706, to establish the Pearl Harbor National Memorial in the State of Hawai&#39;i and the Honouliuli National Historic Site in the State of Hawai&#39;i, H.R.6077, recognizing the National Comedy Center in Jamestown, New York, H.R.6599, to modify the application of temporary limited appointment regulations to the National Park Service, and H.R.6687, to direct the Secretary of the Interior to manage the Point Reyes National Seashore in the State of California consistently with Congress&#39; long-standing intent to continue to authorize working dairies and ranches on agricultural property as part of the seashore&#39;s unique historic, cultural, scenic and natural values.",n/a,,
Senate,Committee on Rules and Administration,SSRA,https://api.propublica.org/congress/v1/115/senate/committees/SSRA.json,2018-12-12,10:00:00,SR-301,"Business meeting to consider S.1010, to amend title 17, United States Code, to provide additional responsibilities for the Register of Copyrights.",n/a,,
House,Committee on Oversight and Reform,HSGO,https://api.propublica.org/congress/v1/115/house/committees/HSGO.json,2018-12-12,10:00:00,RHOB 2154,Federal Information Technology Acquisition Reform Act (FITARA) Scorecard 7.0,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108789,Hearing
House,Committee on Education and Labor,HSED,https://api.propublica.org/congress/v1/115/house/committees/HSED.json,2018-12-12,10:00:00,RHOB 2175,Mandating a $15 Minimum Wage: Consequences for Workers and Small Businesses,n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108792,Hearing
Senate,Committee on the Judiciary,SSJU,https://api.propublica.org/congress/v1/115/senate/committees/SSJU.json,2018-12-12,10:00:00,SD-226,"Hearings to examine China&#39;s non-traditional espionage against the United States, focusing on the threat and potential policy responses.",n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/115/senate/committees/SSAS.json,2018-12-12,09:30:00,SD-G50,Hearings to examine Navy and Marine Corps readiness.,n/a,,
Senate,Committee on Armed Services,SSAS,https://api.propublica.org/congress/v1/115/senate/committees/SSAS.json,2018-12-12,09:30:00,SR-232A,Hearings to examine implications of China&#39;s presence and investment in Africa.,n/a,,
House,Committee on Armed Services,HSAS,https://api.propublica.org/congress/v1/115/house/committees/HSAS.json,2018-12-11,15:30:00,RHOB 2118,"Department of Defenses Artificial Intelligence Structure, Investments, and Applications",n/a,https://docs.house.gov/Committee/Calendar/ByEvent.aspx?EventID=108795,Hearing
